ID,Title,URL,Topic,Difficulty,Rating,Prereqs,Duration
101,Introduction to Pointers,https://www.google.com/search?q=cpp+pointers+intro,Pointers,10,4.5,,15
102,Pointer Arithmetic Explained,https://www.google.com/search?q=pointer+arithmetic,Pointers,25,4.2,101,20
103,Dynamic Memory Allocation (new/delete),https://www.google.com/search?q=cpp+dynamic+memory,Pointers,40,4.7,101,30
104,References vs Pointers,https://www.google.com/search?q=cpp+references+vs+pointers,Pointers,20,4.3,101,15
105,Smart Pointers (unique_ptr/shared_ptr),https://www.google.com/search?q=cpp+smart+pointers,Pointers,55,4.8,103,35
201,Singly Linked List Implementation,https://www.google.com/search?q=singly+linked+list,LinkedList,30,4.4,103,40
202,Doubly Linked List Deep Dive,https://www.google.com/search?q=doubly+linked+list,LinkedList,45,4.6,201,45
203,Circular Linked Lists,https://www.google.com/search?q=circular+linked+list,LinkedList,50,4.2,201,30
204,Reversing a Linked List,https://www.google.com/search?q=reverse+linked+list,LinkedList,55,4.7,201,35
205,Detecting Cycles (Floyd's Cycle Finding),https://www.google.com/search?q=floyd+cycle+finding,LinkedList,60,4.9,201,30
301,Stack using Arrays,https://www.google.com/search?q=stack+using+array,Stacks,25,4.3,101,25
302,Stack using Linked List,https://www.google.com/search?q=stack+using+linked+list,Stacks,35,4.5,201,30
303,Queue using Arrays,https://www.google.com/search?q=queue+using+array,Queues,25,4.3,101,25
304,Queue using Linked List,https://www.google.com/search?q=queue+using+linked+list,Queues,35,4.5,201,30
305,Circular Queue Implementation,https://www.google.com/search?q=circular+queue,Queues,45,4.6,303,35
306,Balanced Parentheses Problem,https://www.google.com/search?q=balanced+parentheses+stack,Stacks,40,4.8,301,40
307,Infix to Postfix Conversion,https://www.google.com/search?q=infix+to+postfix,Stacks,65,4.5,301,50
351,Recursion Basics (Factorial/Fibonacci),https://www.google.com/search?q=recursion+basics,Recursion,20,4.6,101,20
352,Towers of Hanoi Puzzle,https://www.google.com/search?q=towers+of+hanoi,Recursion,70,4.8,351,45
353,N-Queens Backtracking,https://www.google.com/search?q=n+queens+problem,Recursion,85,4.9,351,60
401,Binary Tree Introduction,https://www.google.com/search?q=binary+tree+intro,Trees,35,4.4,351,30
402,Tree Traversals (Pre/In/Post),https://www.google.com/search?q=binary+tree+traversals,Trees,40,4.5,401,40
403,Binary Search Tree (BST) Logic,https://www.google.com/search?q=bst+logic,Trees,50,4.7,402,45
404,BST Deletion Cases,https://www.google.com/search?q=bst+deletion,Trees,60,4.6,403,50
405,AVL Tree Rotations Visualized,https://www.google.com/search?q=avl+tree+rotations,Trees,85,4.9,403,60
406,AVL Insertion & Balancing,https://www.google.com/search?q=avl+tree+insertion,Trees,90,4.8,405,60
407,Threaded Binary Trees,https://www.google.com/search?q=threaded+binary+tree,Trees,90,4.4,402,55
408,Segment Trees (Range Queries),https://www.google.com/search?q=segment+trees,Trees,95,4.7,401,65
501,Binary Heap (Min/Max),https://www.google.com/search?q=binary+heap,Heaps,60,4.6,102;401,45
502,Heap Sort Algorithm,https://www.google.com/search?q=heap+sort,Sorting,65,4.7,501,40
503,Priority Queue Applications,https://www.google.com/search?q=priority+queue+uses,Heaps,55,4.5,501,35
601,Graph Representations (Matrix vs List),https://www.google.com/search?q=graph+representation,Graphs,50,4.4,201,35
602,Breadth-First Search (BFS),https://www.google.com/search?q=bfs+algorithm,Graphs,60,4.5,601;304,40
603,Depth-First Search (DFS),https://www.google.com/search?q=dfs+algorithm,Graphs,65,4.5,601;302,40
604,Topological Sorting (Kahn's),https://www.google.com/search?q=topological+sort,Graphs,75,4.8,603,50
605,Dijkstra's Shortest Path,https://www.google.com/search?q=dijkstra+algorithm,Graphs,95,5.0,601;501,65
606,Bellman-Ford Algorithm,https://www.google.com/search?q=bellman+ford,Graphs,90,4.7,601,60
607,Prim's MST Algorithm,https://www.google.com/search?q=prims+algorithm,Graphs,90,4.8,601;501,55
608,Kruskal's MST Algorithm,https://www.google.com/search?q=kruskals+algorithm,Graphs,85,4.8,601;701,50
609,Floyd-Warshall Algorithm,https://www.google.com/search?q=floyd+warshall,Graphs,92,4.6,601,60
701,Bubble & Selection Sort,https://www.google.com/search?q=bubble+selection+sort,Sorting,15,4.0,101,25
702,Insertion Sort,https://www.google.com/search?q=insertion+sort,Sorting,20,4.2,101,25
703,Merge Sort (Divide & Conquer),https://www.google.com/search?q=merge+sort,Sorting,55,4.8,351,45
704,Quick Sort Explained,https://www.google.com/search?q=quick+sort,Sorting,60,4.9,351,50
705,Shell Sort,https://www.google.com/search?q=shell+sort,Sorting,50,4.3,702,35
706,Counting Sort,https://www.google.com/search?q=counting+sort,Sorting,70,4.6,102,40
707,Radix Sort,https://www.google.com/search?q=radix+sort,Sorting,75,4.6,706,45
801,Hashing Basics & Hash Functions,https://www.google.com/search?q=hashing+basics,Hashing,40,4.5,201,30
802,Collision Resolution: Chaining,https://www.google.com/search?q=hashing+chaining,Hashing,50,4.6,201,35
803,Collision Resolution: Open Addressing,https://www.google.com/search?q=open+addressing,Hashing,55,4.3,102,35
901,Trie (Prefix Tree) Insertion,https://www.google.com/search?q=trie+data+structure,Tries,80,4.8,401,45
902,Trie Search & Autocomplete,https://www.google.com/search?q=trie+autocomplete,Tries,82,4.9,901,50
